VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
001,4,0.0,CD 4 - C2-C2 - C7-C7 - C12-C12 - C20-C20 - C63-C63 - C66-C66 - C67-C67 - C72-C72 - C81,9,12,38.92,58.38,64066.990399999995
002,5,0.0,CD 5 - C3-C3 - C16-C16 - C19-C19 - C33-C33 - C42-C42 - C46-C46 - C51-C51 - C60-C60 - C64-C64 - C65-C65 - C76,11,12,53.440000000000005,80.16000000000001,87968.6528
003,6,0.0,CD 6 - C13-C13 - C32,2,12,7.32,10.98,12049.598399999999
004,7,0.0,CD 7 - C73,1,12,4.62,6.930000000000001,7605.0743999999995
005,3,0.0,CD 3 - C31-C31 - C77,2,12,6.09,9.135,10024.870799999999
006,6,0.0,CD 6 - C1-C1 - C17-C17 - C26-C26 - C28-C28 - C30-C30 - C55-C55 - C75-C75 - C87,8,10,26.71,40.065000000000005,43967.8652
007,7,0.0,CD 7 - C15-C15 - C23-C23 - C24-C24 - C34-C34 - C35-C35 - C39-C39 - C43-C43 - C56-C56 - C59-C59 - C84,10,12,23.680000000000003,35.52,38980.121600000006
008,4,0.0,CD 4 - C4-C4 - C41-C41 - C47-C47 - C82,4,12,18.37,27.555000000000003,30239.2244
009,10,0.0,CD 10 - C27-C27 - C52-C52 - C53-C53 - C70-C70 - C80-C80 - C83-C83 - C86,7,12,18.940000000000005,28.410000000000007,31177.512800000008
010,12,0.0,CD 12 - C8-C8 - C22-C22 - C36-C36 - C37-C37 - C54-C54 - C68-C68 - C79-C79 - C88,8,12,19.66,29.49,32362.7192
011,12,0.0,,0,,0,0.0,0.0
012,12,0.0,,0,,0,0.0,0.0
013,11,0.0,CD 11 - C14-C14 - C50-C50 - C57-C57 - C90,4,12,14.54,21.81,23934.584799999997
014,12,0.0,,0,,0,0.0,0.0
015,9,0.0,CD 9 - C9-C9 - C21-C21 - C29-C29 - C49-C49 - C61-C61 - C71,6,12,13.82,20.73,22749.378399999998
016,3,0.0,,0,,0,0.0,0.0
017,10,0.0,CD 10 - C89,1,12,5.19,7.785,8543.3628
018,6,0.0,CD 6 - C85,1,12,1.77,2.655,2913.6324
019,3,0.0,CD 3 - C5-C5 - C6,2,12,5.41,8.115,8905.5092
020,4,0.0,CD 4 - C74,1,12,1.46,2.19,2403.3352
021,8,0.0,CD 8 - C40-C40 - C78,2,12,4.84,7.26,7967.220799999999
022,12,0.0,,0,,0,0.0,0.0
023,1,0.0,CD 1 - C58,1,12,2.3,3.4499999999999997,3786.0759999999996
024,2,0.0,CD 2 - C25,1,12,2.27,3.4050000000000002,3736.6924
025,8,0.0,CD 8 - C11-C11 - C69,2,12,8.89,13.335,14634.0068
026,5,0.0,CD 5 - C18-C18 - C45,2,12,2.45,3.6750000000000003,4032.994
027,8,0.0,CD 8 - C62,1,12,0.98,1.47,1613.1976
028,5,0.0,CD 5 - C48,1,12,0.67,1.0050000000000001,1102.9004
029,8,0.0,CD 8 - C44,1,12,0.59,0.885,971.2107999999998
030,11,0.0,CD 11 - C10-C10 - C38,2,12,5.99,8.985,9860.2588
